    4.4662 	  3.343
   4.48502 	  3.153
   4.45598 	  3.082
   4.49456 	  3.041
   4.49198 	  3.026
   4.49431 	  3.146
   4.47892 	  2.907
    4.3794 	  3.049
   4.46316 	  2.952
    4.5414 	  3.332
   4.42301 	  3.441
   4.39935 	  3.388
   4.42001 	  3.469
   4.41373 	  3.435
   4.52453 	  3.679
   4.42843 	  3.335
   4.41877 	  3.417
   4.55049 	  3.088
   4.39339 	  3.492
   4.52319 	  3.332
   4.38159 	  3.495
   4.54883 	  3.407
   4.46837 	  3.068
   4.35018 	  3.293
   4.35423 	  3.452
   4.33658 	  3.380
   4.58659 	  3.483
   4.38048 	  3.466
   4.58473 	  3.445
   4.46261 	  3.973
   4.32312 	  3.206
   4.27914 	  2.897
   4.27096 	  3.320
   4.25893 	  3.272
   4.28235 	  2.890
    4.2973 	  2.947
    4.2921 	  2.902
   4.29879 	  2.730
   4.22588 	  3.437
   4.60986 	  3.116
   4.25959 	  3.343
   4.28127 	  2.992
   4.27707 	  3.003
   4.57716 	  3.754
   4.26845 	  2.978
   4.61735 	  3.722
   4.25033 	  3.043
   4.48451 	  3.116
   4.46669 	  3.109
   4.26986 	  3.266
   4.59027 	  3.785
   4.56212 	  3.696
   4.56628 	  3.509
   4.66938 	  3.176
   4.61658 	  3.779
   4.58139 	  3.485
   4.27037 	  3.458
   4.66736 	  3.574
   4.64136 	  3.550
   4.68782 	  3.550
   4.67759 	  3.665
   4.69019 	  3.754
   4.72064 	  3.687
    4.7559 	  3.644
   4.73157 	  3.776
   4.70503 	  3.696
   4.68022 	  3.838
   4.67726 	  3.858
   4.66681 	  3.943
   4.11477 	  3.363
   4.20128 	  3.415
    4.1801 	  3.012
   4.19421 	  2.866
   4.19226 	  2.759
   4.59344 	  3.547
   4.62164 	  3.503
   4.62543 	  3.519
   4.49005 	  3.143
    4.5264 	  3.309
   4.34137 	  3.702
   4.62192 	  3.508
   4.64589 	  3.492
   4.33245 	  3.779
   4.65535 	  3.409
   4.64358 	  3.454
    4.5035 	  2.999
   4.65434 	  3.721
   4.64027 	  4.041
    4.3908 	  3.324
   4.05717 	  3.270
   4.40109 	  3.130
   4.53689 	  3.166
   4.03803 	  3.116
   4.06439 	  3.057
   4.55464 	  3.076
   4.57127 	  3.962
   4.05117 	  3.219
   4.05202 	  3.166
   4.28258 	  3.479
   4.29583 	  3.251
   4.09678 	  2.887
   4.31088 	  3.392
    4.4351 	  3.558
     4.399 	  3.435
   4.37803 	  3.518
   4.48425 	  2.887
   4.44104 	  2.752
   4.43367 	  2.960
   4.42697 	  3.000
   4.45083 	  3.080
   4.33163 	  3.209
    4.3496 	  3.209
   4.60627 	  3.532
   4.37542 	  3.212
    4.4639 	  3.318
   4.38961 	  3.399
   4.37899 	  3.366
   4.60918 	  3.472
   4.60973 	  3.502
   4.47959 	  3.195
   4.63186 	  3.233
   4.49176 	  3.348
   4.41737 	  3.133
   4.46197 	  3.232
   4.46562 	  3.385
   4.48833 	  3.331
   4.47856 	  3.152
   4.60554 	  3.465
   4.37884 	  3.398
   4.34252 	  3.029
   4.10926 	  3.048
   4.44044 	  3.179
   4.44748 	  3.137
   4.62961 	  3.313
   4.21156 	  2.964
   4.40505 	  3.302
   4.43194 	  3.274
   4.60496 	  3.226
   4.40406 	  3.295
   4.40826 	  3.413
   4.40921 	  3.465
   4.43127 	  3.665
   4.41545 	  3.423
   4.39998 	  3.596
